"Director"	"Year"	"AvgAS"	"AvgCS"
"Adam Rifkin"	2018	55.7142857142857	56.6386554621849
"Adam Robitel"	2014	55.65	56.8583333333333
"Adam Robitel"	2018	55.6446280991736	56.6528925619835
"Adam Rodgers"	2014	55.5573770491803	56.655737704918
"Adam Salky"	2009	55.3821138211382	56.6829268292683
"Adam Salky"	2015	55.2822580645161	56.6451612903226
"Adam Shankman"	2001	55.312	56.32
"Adam Shankman"	2003	55.2619047619048	56.1428571428571
"Adam Shankman"	2005	55.296875	55.46875
"Adam Shankman"	2007	55.5193798449612	55.7441860465116
"Adam Shankman"	2008	55.5153846153846	55.5076923076923
"Adam Shankman"	2012	55.5114503816794	55.3969465648855
"Adam Sherman"	2012	55.25	55.1893939393939
"Adam Smith"	2017	55.0300751879699	55.1954887218045
"Adam Thomas Anderegg"	2002	55.2611940298507	54.9328358208955
"Adam Vardy"	2003	55.2222222222222	55.0814814814815
"Adam Wierzbianski"	2006	55.0661764705882	54.8382352941176
"Adam Wimpenny"	2013	54.9124087591241	54.7518248175182
"Adam Wingard"	2011	54.7753623188406	54.8115942028985
"Adam Wingard"	2012	54.6762589928058	54.8129496402878
"Adam Wingard"	2013	54.4577464788732	54.9295774647887
"Adam Wingard"	2014	54.5594405594406	55.1678321678322
"Adam Wingard"	2016	54.3819444444444	55.0277777777778
"Adam Yauch"	2008	54.448275862069	55.1586206896552
"Aditya Assarat"	2007	54.458904109589	55.3767123287671
"Adiya Imri Orr"	2013	54.3673469387755	55.3197278911565
"Adrián Caetano"	2004	54.527027027027	55.3513513513514
"Adrian Buitenhuis"	2017	54.7315436241611	55.5704697986577
"Adrian García Bogliano"	2012	54.54	55.5333333333333
"Adrian García Bogliano"	2013	54.1710526315789	55.3092105263158
"Adrian García Bogliano"	2014	54.0980392156863	55.4117647058824
"Adrian Grenier"	2010	54.3571428571429	55.7012987012987
"Adrian Hoven"	1969	54.3032258064516	55.5548387096774
"Adrian Lyne"	1983	54.3461538461538	55.4102564102564
"Adrian Lyne"	1986	54.3566878980892	55.4649681528662
"Adrian Lyne"	1987	54.4620253164557	55.6075949367089
"Adrian Lyne"	1990	54.6477987421384	55.6918238993711
"Adrian Lyne"	1993	54.6	55.575
"Adrian Lyne"	1997	54.7267080745342	55.6459627329193
"Adrian Lyne"	2002	54.8086419753086	55.6111111111111
"Adrian Molina"	2017	55.0490797546012	55.8650306748466
"Adrian Shergold"	2007	55.2317073170732	55.9939024390244
"Adriana Trigiani"	2015	55.2242424242424	55.8666666666667
