"Writter"	"Year"	"AvgAS"	"AvgCS"
"Abi Morgan"	2012	58.3508771929825	59.9649122807018
"Abi Morgan"	2013	58.2260869565217	60.1130434782609
"Abi Morgan"	2015	58.3103448275862	60.2155172413793
"Abigail Shafran"	2007	58.2905982905983	60.025641025641
"Abigail Wright"	2015	58.0762711864407	59.5169491525424
"Abner Pastoll"	2016	57.9495798319328	59.7142857142857
"Ace Hannah"	2009	57.625	59.3416666666667
"Achim Bornhak"	2008	57.5950413223141	59.2396694214876
"Achim von Borries"	2017	57.5	59.2377049180328
"Adam \"Blue\" Moreno"	2005	57.6991869918699	58.869918699187
"Adam Abraham"	1999	57.8548387096774	58.9677419354839
"Adam Alleca"	2009	57.808	58.824
"Adam Alleca"	2016	57.3700787401575	58.4173228346457
"Adam Balsam"	2014	57.453125	58.0859375
"Adam Bernstein"	2014	57.3255813953488	58.0697674418605
"Adam Bhala Lough"	2003	57.5230769230769	57.8692307692308
"Adam Bolt"	2010	57.7786259541985	58.175572519084
"Adam Bousdoukos"	2010	57.9015151515151	58.2878787878788
"Adam Braff"	2014	57.9097744360902	58.1954887218045
"Adam Brooks"	1998	58.1185185185185	58.0592592592593
"Adam Brooks"	2001	58.0220588235294	57.7867647058824
"Adam Brooks"	2004	58.0289855072464	57.5797101449275
"Adam Brooks"	2008	58.1294964028777	57.6762589928058
"Adam Brooks"	2012	58.1642857142857	57.8
"Adam Carolla"	2015	58.5281690140845	57.9859154929577
"Adam Chanzit"	2015	58.5734265734266	57.8601398601399
"Adam Cooper"	2003	58.5416666666667	57.7430555555556
"Adam Cooper"	2004	58.4620689655172	57.4206896551724
"Adam Cooper"	2006	58.5547945205479	57.2808219178082
"Adam Cooper"	2014	58.3945578231293	57.0816326530612
"Adam Cooper"	2015	58.2027027027027	56.8040540540541
"Adam Cooper"	2016	57.9866666666667	56.2466666666667
"Adam Cozad"	2014	57.953642384106	56.2450331125828
"Adam Cozad"	2016	57.9605263157895	56.1184210526316
"Adam Davis"	2005	58.0457516339869	56.0261437908497
"Adam Elliot"	2009	58.2662337662338	56.2792207792208
"Adam Ellison"	2008	58.0645161290323	55.9483870967742
"Adam F. Goldberg"	2005	57.9230769230769	55.8333333333333
"Adam F. Goldberg"	2008	57.9171974522293	55.6815286624204
"Adam F. Goldberg"	2009	57.8227848101266	55.5253164556962
"Adam Fields"	1999	57.874213836478	55.3710691823899
"Adam Forgash"	2010	57.61875	55.25
"Adam Gierasch"	2004	57.4658385093168	55.2360248447205
"Adam Gierasch"	2006	57.320987654321	55.141975308642
"Adam Gierasch"	2007	57.1349693251534	55.1042944785276
"Adam Gierasch"	2010	56.9390243902439	54.9573170731707
"Adam Green"	2010	56.7409638554217	54.8855421686747
"Adam Gross"	2005	56.6467065868263	54.6766467065868
"Adam Gross"	2007	56.5238095238095	54.5476190476191
"Adam Grossman"	1999	56.3254437869822	54.2248520710059
"Adam Herz"	1999	56.3529411764706	54.2588235294118
"Adam Herz"	2001	56.4210526315789	54.2456140350877
"Adam Herz"	2003	56.4593023255814	54.2441860465116
"Adam Herz"	2012	56.4971098265896	54.1849710982659
"Adam Hirsch"	2016	56.3333333333333	54.235632183908
"Adam Hoelzel"	2018	56.0914285714286	54.1142857142857
"Adam Horowitz"	2010	56.1306818181818	54.0965909090909
"Adam Jay Epstein"	2001	56.1242937853107	53.9604519774011
"Adam Keleman"	2017	56.2865168539326	54.0561797752809
"Adam Kreutner"	2007	56.1005586592179	53.9776536312849
"Adam Larson Broder"	2002	56.1	53.8777777777778
"Adam Leff"	1993	56.0441988950276	53.767955801105
"Adam Leff"	1996	56.010989010989	53.5
"Adam Leon"	2013	56.0601092896175	53.7049180327869
"Adam MacDonald"	2015	56.0489130434783	53.8913043478261
"Adam MacDonald"	2018	56.0162162162162	54.0324324324324
"Adam Mansbach"	2016	56	54.1827956989247
"Adam Marcus"	1993	55.8288770053476	54.0213903743316
"Adam Marcus"	2013	55.75	53.8297872340426
"Adam Marcus"	2015	55.5978835978836	53.6931216931217
"Adam Marcus &amp"	2013	55.5210526315789	53.5052631578947
"Adam Mason"	2016	55.3507853403141	53.261780104712
"Adam Mazer"	2007	55.4114583333333	53.421875
"Adam McKay"	2004	55.5699481865285	53.4870466321244
"Adam McKay"	2006	55.659793814433	53.5773195876289
"Adam McKay"	2008	55.7282051282051	53.5794871794872
"Adam McKay"	2010	55.75	53.7040816326531
"Adam McKay"	2012	55.7258883248731	53.761421319797
"Adam McKay"	2013	55.7070707070707	53.8686868686869
"Adam McKay"	2015	56.015	54.18
"Adam Minarovich"	2013	55.9154228855721	53.9751243781095
"Adam Montierth"	2014	55.9108910891089	53.7722772277228
"Adam Moreno"	2005	56.0394088669951	53.576354679803
"Adam Nagata"	2009	55.9313725490196	53.4950980392157
"Adam Park"	1997	55.7756097560976	53.2341463414634
"Adam Pava"	2014	55.8106796116505	53.3398058252427
"Adam Prince"	2015	55.6570048309179	53.2125603864734
"Adam Rager"	2017	55.4615384615385	52.9567307692308
"Adam Reid"	2011	55.4736842105263	53.0430622009569
"Adam Resnick"	1994	55.4047619047619	53.0095238095238
"Adam Resnick"	2000	55.2274881516588	52.8625592417062
"Adam Resnick"	2002	55.2783018867925	52.811320754717
"Adam Rifkin"	1997	55.2441314553991	52.7605633802817
"Adam Rifkin"	1998	55.1915887850467	52.7383177570093
"Adam Rifkin"	2002	55.2279069767442	52.6837209302326
"Adam Rifkin"	2006	55.1203703703704	52.4537037037037
"Adam Rifkin"	2007	54.8584474885845	52.1506849315069
"Adam Rifkin"	2010	54.7636363636364	51.9590909090909
"Adam Rifkin"	2018	54.8325791855204	51.9411764705882
"Adam Robitel"	2015	54.7072072072072	51.7702702702703
"Adam Rodgers"	2014	54.6636771300448	51.7937219730942
"Adam Sandler"	1995	54.7723214285714	51.7678571428571
"Adam Sandler"	1996	54.9066666666667	51.8044444444444
"Adam Sandler"	1998	54.9778761061947	51.7300884955752
"Adam Sandler"	1999	55.0616740088106	51.6784140969163
"Adam Sandler"	2000	55.0614035087719	51.5482456140351
"Adam Sandler"	2008	55.0174672489083	51.4890829694323
"Adam Sandler"	2010	55.0478260869565	51.3086956521739
"Adam Sandler"	2011	54.8497854077253	50.7381974248927
"Adam Sandler"	2013	54.8418803418803	50.5512820512821
"Adam Sandler"	2015	54.8432203389831	50.4279661016949
"Adam Scheinman"	1994	54.8354430379747	50.3544303797468
"Adam Scheinman"	1999	54.781512605042	50.3319327731092
"Adam Scheinman"	2000	54.7196652719665	50.2301255230126
"Adam Scheinman"	2003	54.6625	50.0666666666667
"Adam Schindler"	2014	54.5601659751037	50.1369294605809
"Adam Sherman"	2012	54.4214876033058	50.0454545454545
"Adam Simon"	2001	54.358024691358	49.9259259259259
"Adam Simon"	2009	54.3196721311475	49.7868852459016
"Adam Simon"	2016	54.334693877551	49.6530612244898
"Adam Small"	1993	54.349593495935	49.5365853658537
"Adam Small"	1994	54.3076923076923	49.3603238866397
"Adam Small"	1995	54.1935483870968	49.1612903225806
"Adam Small"	2003	54.1887550200803	49.0883534136546
"Adam Sztykiel"	2008	54.192	48.948
"Adam Sztykiel"	2010	54.1832669322709	48.9123505976096
"Adam Sztykiel"	2015	54.1706349206349	48.7777777777778
"Adam Sztykiel"	2017	54.0909090909091	48.6640316205534
"Adam Till"	2014	54.0314960629921	48.5787401574803
"Adam Vardy"	2003	54.0156862745098	48.6823529411765
"Adam Wierzbianski"	2006	53.9375	48.578125
"Adam Wierzbianski"	2014	53.8287937743191	48.4824902723735
"Adam Zucker"	2012	53.9573643410853	48.6434108527132
"Addison Wiggin"	2008	54.0772200772201	48.7953667953668
"Adela Ibañez"	2004	54.1076923076923	48.6076923076923
"Adela Rogers St. John"	1937	54.1992337164751	48.8045977011494
"Adele Comandini"	1936	54.2099236641221	48.9465648854962
"Adele Comandini"	1945	54.2159090909091	49.2348484848485
