Movie_name	Crtics_reviewer_count	Audience_reviewer_count
10010760-miss_march	80	79411
10010782-american_affair	37	1722
10010785-grace	29	10249
10010787-endgame	7	5
10010789-red_baron	25	11064
10010919-objective	12	3685
10010944-missing_person	23	6781
10010957-polanski_unauthorized	6	3
10010972-mammoth	41	6997
10011003-crude	65	1477
10011016-messenger	158	21561
10011050-lake_mungo	15	2687
10011079-country_teacher	26	1721
1001115-apartment	60	37810
10011154-golden_boys	18	0
1001117-ape	5	0
10011235-fame	120	194999
10011262-outrage	59	6682
10011284-skin	63	2107
10011304-thirst	111	19346
10011335-vengeance	22	1878
10011379-new_world_order	9	5
1001138-april_fools_day	16	13412
10011388-blood_the_last_vampire	51	94568
10011435-shrink	65	42777
10011457-ong_bak_2_2009	69	21152
10011489-bananas	6	1
10011494-last_ride	29	3558
10011582-TRON_legacy	232	171077
10011647-canyon	15	0
10011699-leslie_my_name_is_evil	7	2340
10011721-broken_hill	6	0
10011735-beautiful_life	12	4
10011736-suck	9	1877
10011774-chloe	155	30517
1001180-armed_and_dangerous	9	9322
10011815-hole	36	14686
10011846-nobodys_perfect	11	
10011854-good_soldier	15	3
10011857-high_life	5	3
1001193-around_the_world_in_80_days	35	33368
10011949-collapse	41	3577
10011984-last_song	117	160889
10012014-babies	110	35035
10012039-lottery_ticket	80	29984
10012042-going_the_distance	163	57398
10012044-life_as_we_know_it	146	82304
10012050-final	8	1070
10012051-frozen	93	20552
10012058-prodigal_sons	28	7
10012063-ghost_writer	199	60241
10012068-repo_men	148	100518
10012104-7_days	13	1465
10012114-daddy_longlegs	30	2
10012136-winters_bone	164	51405
10012141-kids_are_all_right	213	63439
10012147-lucky	5	6
10012150-high_school	52	8201
10012207-stolen	20	2684
10012232-killing_jar	8	8
10012254-la_mission	26	5864
10012256-predators	190	159531
10012264-stonewall	31	6
10012282-oath	21	3
10012288-wild_hunt	9	0
1001240-arthur	32	33478
10012426-lottery	13	9
1001280-assault_on_precinct_13	41	24483
1001294-asylum	10	7
1001323-attack_of_the_50_foot_woman	12	1245
1001406-avenging_angel	6	1539
1001526-bachelor_party	26	37539
1001553-bad_company	11	2285
1001567-bad_news_bears	27	40325
1001572-bad_seed	26	8591
1001577-badlands	51	26027
1001634-bang_the_drum_slowly	26	3775
1001781-batman	68	910051
1001816-battleground	5	2710
1001902-beauty_and_the_beast	60	22536
1001_grams	21	6
1002178-best_of_times	13	6489
1002205-betrayed	11	2
1002306-big_brawl	6	5464
1002310-big_business	15	20048
1002332-big_heat	29	5891
1002352-big_sleep	57	33354
1002448-birds	52	176147
1002484-black_christmas	27	22882
1002497-black_hole	28	9732
1002511-black_pirate	10	1410
1002512-black_rain	21	27708
1002526-black_sunday	24	3891
1002531-black_widow	19	3779
1002540-blackmail	10	4695
1002571-blind_date	24	18504
1002598-blood_and_sand	6	3
1002611-blood_feast	12	6226
1002681-blue_angel	37	5660
1002732-bluebeard	12	9
1002830-body_heat	39	10237
1002907-border	9	3276
1002930-born_yesterday	21	4738
1002939-boston_strangler	14	3329
1002947-bounty	17	10278
1002993-boys_from_brazil	27	7637
1003017-brainstorm	16	6854
1003033-brazil	47	102608
1003060-breakout	8	1943
1003075-brewsters_millions	22	38450
1003076-brians_song	12	9086
1003094-brief_encounter	40	11095
1003119-broken_arrow	9	1009
1003120-broken_blossoms	21	3781
1003136-brotherhood	8	1009
1003217-bug	7	1993
1003276-burglar	11	6720
1003296-bus_stop	14	7912
1003318-butch_cassidy_and_the_sundance_kid	46	70863
1003339-bye_bye_birdie	26	10142
1003399-calamity_jane	18	20661
1003436-camelot	13	8331
1003441-camille	12	4332
1003492-cape_fear	19	17665
1003499-captain_blood	24	8147
1003531-captains_courageous	14	3783
1003612-carnival_of_souls	34	9351
1003625-carrie	60	352554
1003707-casablanca	77	356519
1003722-casino_royale	36	33084
1003747-cat_and_the_canary	14	1146
1003755-cat_on_a_hot_tin_roof	34	31657
1003757-cat_people	45	7702
1003758-cat_people	43	10273
1003780-caught	6	9
1003854-champ	20	7686
1003857-champion	12	2
1003883-charade	36	42691
1003952-charlottes_web	21	227151
1003957-chase	5	2739
1003972-checking_out	5	2
1004047-children_of_the_corn	25	84832
1004110-chosen	10	9
1004125-christmas_carol	12	56552
1004141-christmas_in_connecticut	16	3709
1004151-christmas_story	55	285557
1004177-cimarron	17	1473
1004186-cinderella	30	861887
1004330-cleopatra	34	20464
1004407-cobra	18	43973
1004420-cocktail	40	106897
1004463-college	17	2348
1004485-colors	31	28393
1004502-coma	24	7649
1004567-commando	33	137897
1004798-country_girl	7	3096
1004832-cover_girl	18	3754
1004906-creature_from_the_black_lagoon	32	23479
1004995-crossroads	15	10447
1005090-cutting_class	8	3791
1005107-doa	24	2671
1005199-dangerous_liaisons	28	46393
1005279-darling	10	2168
1005371-day_the_earth_stood_still	54	34090
1005381-days_of_wine_and_roses	7	2522
1005399-dead_heat	9	6182
1005405-dead_of_night	29	3362
1005412-dead_reckoning	6	1984
1005512-death_in_venice	18	6370
1005521-death_of_a_salesman	8	4523
1005656-demons	9	10342
1005724-desperate_hours	6	2774
1005762-devil_doll	5	3
1005865-dillinger	13	2512
1005875-dinner_at_eight	17	2811
1005967-distant_thunder	7	4
1005973-diva	47	6388
1006037-doctor_zhivago	45	45626
1006042-dodge_city	12	2599
1006068-dolls	13	8200
1006207-dr_jekyll_and_mr_hyde	27	5587
1006234-dracula	46	44546
1006235-dracula	5	1268
1006236-dracula	14	9740
1006250-dragnet	32	35121
1006287-dream_team	13	8252
1006299-dressed_to_kill	43	10428
1006345-duel	40	35334
1006392-eagle_has_landed	7	7530
1006416-east_of_eden	35	23401
1006425-easy_money	9	5617
1006476-oedipus_rex	7	1857
1006527-elephant_man	42	64239
1006646-enforcer	28	15908
1006648-enforcer	7	1282
1006717-escape_from_new_york	56	72323
1006872-exodus	14	4223
1006917-eyewitness	10	1839
1007003-fahrenheit_451	32	25666
1007070-fan	13	1126
1007073-fandango	6	5715
1007105-far_from_the_madding_crowd	25	1065
1007110-farewell_my_lovely	19	1440
1007141-fatal_attraction	46	52839
1007154-father_of_the_bride	29	13881
1007517-flash_gordon	38	46596
1007522-flashback	13	5794
1007538-flesh_and_blood	14	4332
1007555-flight_of_the_phoenix	20	9174
1007573-flipper	5	26365
1007600-fly	38	11095
1007602-fly	57	89468
1007615-flying_tigers	8	8
1007617-fog	42	49290
1007657-footloose	39	270109
1007745-four_feathers	9	2872
1007818-frankenstein	45	41298
1007832-frantic	41	22014
1007839-freaky_friday	21	65715
1007910-fright_night	34	49516
1007931-from_here_to_eternity	49	14782
1007949-frosty_the_snowman	5	35063
1007962-fugitive	7	7
1007977-fun_with_dick_and_jane	10	5479
1007990-funny_farm	19	25752
1008015-fury	25	5160
1008055-galaxy_of_terror	12	1074
1008074-gallipoli	40	23019
1008080-gambler	7	1223
1008085-game_of_death	9	32506
1008138-gaslight	26	8421
1008166-general	44	11359
1008243-getaway	20	9651
1008356-girlfriends	6	7
1008358-girls_girls_girls	5	7948
1008415-glory	41	59939
1008437-go_west	9	2678
1008588-gone_in_60_seconds	14	196405
1008623-goodbye_girl	16	7432
1008627-goodbye_mr_chips	16	5644
1008799-great_gatsby	34	20725
1008852-great_race	23	8749
1008931-green_berets	12	9600
1008968-grizzly	5	1773
1009027-gullivers_travels	12	7273
1009055-gunfighter	9	1270
1009058-gung_ho	21	7100
1009076-gypsy	13	6384
1009096-hairspray	41	64075
1009113-halloween	55	301595
1009123-hamlet	32	7494
1009131-hand	7	1893
1009211-hard_times	10	4083
1009219-hardcore	21	2364
1009224-harder_they_fall	11	2104
1009261-harvey	25	38387
1009277-haunting	38	19211
1009293-hawaii	8	1518
1009399-heat	5	5
1009425-heaven	5	2
1009426-heaven_can_wait	11	4354
1009427-heaven_can_wait	36	13168
1009437-heidi	14	18170
1009483-hello_dolly	17	21135
1009583-hidden_fortress	29	17413
1009645-hills_have_eyes	22	51888
1009649-hindenburg	10	2234
1009691-hit	13	2175
1009736-hole_in_the_head	7	2225
100_bloody_acres_2013	35	1632
100_girls	5	39828
100_streets	38	1523
1010002-hound_of_the_baskervilles	10	6247
1010004-hound_of_the_baskervilles	16	4403
1010012-house	11	12882
1010030-house_of_wax	39	41280
1010034-house_on_haunted_hill	23	22686
1010174-hud	25	8366
1010202-human_factor	6	
1010214-hunchback_of_notre_dame	21	2938
1010215-hunchback_of_notre_dame	11	7587
1010220-hunger	29	12784
1010249-hustle	6	1284
1010263-i_the_jury	10	5
1010417-imitation_of_life	25	9558
1010431-importance_of_being_earnest	17	3364
1010440-impulse	8	
1010448-in_cold_blood	34	8602
1010526-incubus	7	1266
1010540-indiscreet	17	5946
1010553-informer	11	1065
1010555-inherit_the_wind	22	9600
1010644-intolerance	33	4854
1010672-invaders_from_mars	11	2743
1010673-invaders_from_mars	14	3484
1010678-invasion_of_the_body_snatchers	51	18979
1010679-invasion_of_the_body_snatchers	52	35114
1010695-invisible_man	36	10989
1010745-island	5	7391
1010752-island_of_dr_moreau	17	2500
1010762-islands_in_the_stream	5	2
1010770-it	10	4759
1010792-its_a_wonderful_life	71	217960
1010793-its_alive	16	6149
1010824-ivanhoe	14	5013
1010837-jack_and_the_beanstalk	7	3
1010889-jamaica_inn	20	4000
1010939-jason_and_the_argonauts	41	22644
1010978-jazz_singer	27	4478
1010979-jazz_singer	20	4927
1011028-jesus_christ_superstar	22	36298
1011176-johnny_belinda	8	1408
1011256-journey_to_the_center_of_the_earth	28	9260
1011295-judex	10	8
1011328-julius_caesar	20	5220
1011338-jungle_book	12	9
1011392-kansas	10	1400
1011487-kickboxer	10	51263
1011558-killer_elite	11	1990
